,date,open,high,low,close,volume,average,barCount,bid_date,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_date,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
8032,2022-12-06 09:52:00-05:00,177.18,178.07,177.05,177.8,3912.42,177.585,1571,2022-12-06 09:52:00-05:00,177.16,178.03,177.05,177.78,-1.0,-1.0,-1.0,2022-12-06 09:52:00-05:00,177.2,178.08,177.08,177.84,-1.0,-1.0,-1.0
8033,2022-12-06 09:53:00-05:00,177.83,177.9,177.48,177.62,2088.63,177.669,799,2022-12-06 09:53:00-05:00,177.78,177.88,177.45,177.6,-1.0,-1.0,-1.0,2022-12-06 09:53:00-05:00,177.84,177.95,177.49,177.64,-1.0,-1.0,-1.0
8034,2022-12-06 09:54:00-05:00,177.6,177.74,177.26,177.3,2724.26,177.53,1083,2022-12-06 09:54:00-05:00,177.6,177.71,177.26,177.27,-1.0,-1.0,-1.0,2022-12-06 09:54:00-05:00,177.64,177.77,177.29,177.34,-1.0,-1.0,-1.0
8035,2022-12-06 09:55:00-05:00,177.33,178.1,177.17,177.87,4362.14,177.65,1670,2022-12-06 09:55:00-05:00,177.27,178.06,177.16,177.84,-1.0,-1.0,-1.0,2022-12-06 09:55:00-05:00,177.34,178.11,177.18,177.9,-1.0,-1.0,-1.0
8036,2022-12-06 09:56:00-05:00,177.89,178.23,177.63,177.83,2989.22,177.971,1090,2022-12-06 09:56:00-05:00,177.84,178.22,177.63,177.82,-1.0,-1.0,-1.0,2022-12-06 09:56:00-05:00,177.9,178.24,177.66,177.87,-1.0,-1.0,-1.0
8037,2022-12-06 09:57:00-05:00,177.86,177.93,177.35,177.6,2675.26,177.634,1031,2022-12-06 09:57:00-05:00,177.82,177.91,177.35,177.56,-1.0,-1.0,-1.0,2022-12-06 09:57:00-05:00,177.87,177.93,177.38,177.63,-1.0,-1.0,-1.0
8038,2022-12-06 09:58:00-05:00,177.59,177.61,176.8,176.86,4187.03,177.115,1551,2022-12-06 09:58:00-05:00,177.56,177.6,176.8,176.85,-1.0,-1.0,-1.0,2022-12-06 09:58:00-05:00,177.63,177.63,176.82,176.89,-1.0,-1.0,-1.0
8039,2022-12-06 09:59:00-05:00,176.87,176.98,176.52,176.71,4752.68,176.761,1639,2022-12-06 09:59:00-05:00,176.85,176.97,176.52,176.71,-1.0,-1.0,-1.0,2022-12-06 09:59:00-05:00,176.89,176.99,176.55,176.73,-1.0,-1.0,-1.0
8040,2022-12-06 10:00:00-05:00,176.71,177.12,176.48,176.87,3607.53,176.904,1487,2022-12-06 10:00:00-05:00,176.71,177.1,176.48,176.87,-1.0,-1.0,-1.0,2022-12-06 10:00:00-05:00,176.73,177.12,176.5,176.91,-1.0,-1.0,-1.0
8041,2022-12-06 10:01:00-05:00,176.89,176.92,176.4,176.61,3583.91,176.633,1369,2022-12-06 10:01:00-05:00,176.87,176.91,176.4,176.58,-1.0,-1.0,-1.0,2022-12-06 10:01:00-05:00,176.91,176.93,176.42,176.61,-1.0,-1.0,-1.0
8042,2022-12-06 10:02:00-05:00,176.61,176.61,176.05,176.08,3840.16,176.28,1570,2022-12-06 10:02:00-05:00,176.58,176.58,176.04,176.05,-1.0,-1.0,-1.0,2022-12-06 10:02:00-05:00,176.61,176.62,176.06,176.09,-1.0,-1.0,-1.0
